Id,Label,Capacity,CapacityTier,Degree,DegreeCentrality,BetweennessCentrality,ClusteringCoefficient,EigenvectorCentrality,Community,IsHub
72,Kyrgyzstan,125.50769214169364,High,78,0.366197,0.000055,0.786145,0.071594,2,False
73,Lithuania,148.90327830433435,High,132,0.619718,0.000441,0.784410,0.089770,2,False
74,Luxembourg,147.1156904593844,High,96,0.450704,0.000127,0.821452,0.057969,2,False
75,Malawi,131.2967179690249,High,62,0.291080,0.000198,0.720831,0.052109,0,False
76,Mexico,175.50836201822193,Very High,203,0.953052,0.005261,0.578247,0.104580,1,False
77,Montenegro,119.67613545304897,High,91,0.427230,0.000061,0.818271,0.083400,2,False
78,Morocco,157.4890892776799,Very High,157,0.737089,0.002853,0.660446,0.086000,0,False
79,Nicaragua,142.9401994097485,High,80,0.375587,0.000052,0.846903,0.058783,1,False
80,Norway,158.0004479036496,Very High,180,0.845070,0.002657,0.631902,0.112235,2,False
81,Panama,123.61105951358523,High,45,0.211268,0.000000,0.716667,0.000000,1,False
82,Portugal,164.039992439781,Very High,190,0.892019,0.005322,0.601521,0.092318,1,False
83,Republic of Moldova,136.80116257883958,High,121,0.568075,0.000329,0.778670,0.084392,2,False
84,Romania,157.17851745433214,Very High,154,0.723005,0.000971,0.749488,0.099410,2,False
85,Sao Tome and Principe,52.97931088114618,Medium,2,0.009390,0.000000,0.000000,0.000000,2,False
86,Serbia,145.11484778335014,High,133,0.624413,0.001502,0.745736,0.097981,2,False
87,Slovakia,152.20795154578965,Very High,131,0.615023,0.000439,0.794732,0.092232,2,False
88,Slovenia,148.15997725981205,High,137,0.643192,0.000339,0.773783,0.094951,2,False
89,Syrian Arab Republic,151.43787477618767,Very High,104,0.488263,0.000900,0.747275,0.059881,0,False
90,The former Yugoslav Republic of Macedonia,132.5585928284592,High,118,0.553991,0.000286,0.789711,0.085583,2,False
91,Tunisia,151.56370817789448,Very High,136,0.638498,0.001233,0.680978,0.079686,0,False
92,Uganda,140.85008028273475,High,97,0.455399,0.000350,0.709747,0.068477,0,False
93,Unspecified,134.65645435629318,High,72,0.338028,0.000000,0.619327,0.000000,1,False
94,Venezuela (Bolivarian Republic of),156.9419388475693,Very High,104,0.488263,0.000575,0.753567,0.073862,1,False
95,Bolivia (Plurinational State of),129.88630134596843,High,75,0.352113,0.000022,0.849927,0.061084,1,False
96,Chile,166.29365336649008,Very High,194,0.910798,0.001716,0.617300,0.094580,1,False
97,El Salvador,143.84224308870304,High,82,0.384977,0.000131,0.730536,0.060413,1,False
98,Estonia,142.71982002983722,High,115,0.539906,0.000123,0.862268,0.080990,2,False
99,Fiji,124.45040857906541,High,67,0.314554,0.000575,0.724020,0.050145,1,False
100,Georgia,137.07836806642632,High,94,0.441315,0.000149,0.810325,0.060169,2,False
101,Honduras,133.34252631565136,High,28,0.131455,0.000000,0.914021,0.000000,1,False
102,Iceland,128.1588585939283,High,119,0.558685,0.000607,0.750608,0.091075,2,False
103,Jamaica,136.56253029644617,High,113,0.530516,0.000969,0.718523,0.063535,1,False
104,Madagascar,118.96587405191474,High,91,0.427230,0.001389,0.790108,0.052873,0,False
105,New Zealand,165.52410128782878,Very High,195,0.915493,0.011227,0.603235,0.104641,1,False
106,Papua New Guinea,141.28833552478508,High,19,0.089202,0.000000,0.944444,0.000000,0,False
107,Paraguay,162.34538366676313,Very High,63,0.295775,0.000000,0.748336,0.000000,1,False
108,Peru,154.5566857137339,Very High,139,0.652582,0.000413,0.755936,0.078803,1,False
109,South Africa,162.72307099074493,Very High,226,1.061033,0.005978,0.537646,0.114874,0,False
110,Sri Lanka,145.5282052690075,High,147,0.690141,0.001838,0.710709,0.071171,0,False
111,Sudan (former),107.64983943085737,High,41,0.192488,0.000000,0.745732,0.000000,0,False
112,Trinidad and Tobago,133.28955881017163,High,93,0.436620,0.000533,0.712917,0.068909,1,False
113,United Republic of Tanzania,144.7771647608399,High,97,0.455399,0.000380,0.732923,0.065000,0,False
114,Uruguay,163.0926434162049,Very High,85,0.399061,0.000000,0.679972,0.000000,1,False
115,Zambia,130.1612894054333,High,70,0.328638,0.000318,0.754800,0.050706,0,False
116,Armenia,135.9033550436335,High,106,0.497653,0.000121,0.765402,0.083415,2,False
117,Belarus,142.2816238912616,High,129,0.605634,0.000429,0.687500,0.109432,2,False
118,Central African Republic,100.6499167426548,High,32,0.150235,0.000053,0.748479,0.031577,0,False
119,Ghana,137.95525432784888,High,107,0.502347,0.000374,0.731260,0.067836,0,False
120,Guyana,122.51702131266741,High,70,0.328638,0.000436,0.716430,0.050052,1,False
121,Latvia,147.63172272152056,High,132,0.619718,0.000381,0.782558,0.089756,2,False
122,Mali,71.67220035021143,Medium,20,0.093897,0.000000,0.613158,0.000000,0,False
123,Nauru,45.46160966808565,Low,3,0.014085,0.000000,0.833333,0.000000,2,False
124,Nigeria,130.1551342889736,High,65,0.305164,0.000000,0.757692,0.000000,2,False
125,Oman,139.7935412782792,High,93,0.436620,0.000506,0.766690,0.078289,0,False
126,Sierra Leone,68.25877284874048,Medium,18,0.084507,0.000000,0.833333,0.000000,0,False
127,Aruba,126.12257822117873,High,51,0.239437,0.000044,0.694882,0.051615,1,False
128,Barbados,125.93597608100038,High,100,0.469484,0.000525,0.690990,0.071731,1,False
129,Netherlands Antilles,94.13954444601278,Medium,17,0.079812,0.000000,0.602941,0.000000,1,False
130,Suriname,115.80452891366485,High,54,0.253521,0.000142,0.717147,0.050796,1,False
131,American Samoa,50.623775730142256,Medium,5,0.023474,0.000000,0.900000,0.000000,1,False
132,Antigua and Barbuda,96.23184434464379,Medium,20,0.093897,0.000000,0.713158,0.000000,1,False
133,Azerbaijan,140.88689198936925,High,87,0.408451,0.000366,0.731213,0.084115,2,False
134,Bahrain,135.05105530468688,High,94,0.441315,0.000329,0.672750,0.088767,0,False
135,Bangladesh,102.34070569503926,High,36,0.169014,0.000000,0.782540,0.000000,0,False
136,Belize,112.9689329803188,High,50,0.234742,0.000037,0.804778,0.044048,1,False
137,Bermuda,97.74302463029849,Medium,23,0.107981,0.000000,0.893281,0.000000,1,False
138,Botswana,131.8088485777588,High,45,0.211268,0.000012,0.796636,0.033191,0,False
139,Cambodia,133.17585748934155,High,49,0.230047,0.000801,0.848667,0.044575,0,False
140,China, Macao SAR,139.92210597870206,High,45,0.211268,0.000003,0.911735,0.042640,0,False
141,Democratic People's Republic of Korea,100.11127664800718,High,15,0.070423,0.000000,0.742857,0.000000,1,False
142,Democratic Republic of the Congo,110.80222715884963,High,20,0.093897,0.000000,0.755263,0.000000,0,False
143,Djibouti,10.0,Low,0,0.000000,0.000000,0.000000,0.000000,3,False
144,Eritrea,47.62711270680367,Low,5,0.023474,0.000000,0.800000,0.000000,0,False
145,Guinea,111.58914936198249,High,24,0.112676,0.000000,0.949275,0.000000,0,False
146,Jordan,145.5811904363526,High,124,0.582160,0.000890,0.713844,0.099249,0,False
147,Lao People's Democratic Republic,126.10646744375471,High,14,0.065728,0.000000,0.912088,0.000000,1,False
148,Malta,129.2841158600409,High,112,0.525822,0.000588,0.696186,0.074886,0,False
149,Marshall Islands,28.519036935090497,Low,6,0.028169,0.000000,0.933333,0.000000,1,False
150,Mauritius,130.90278734684824,High,107,0.502347,0.000602,0.694720,0.083394,0,False
151,Mongolia,106.3708051511614,High,18,0.084507,0.000000,0.970588,0.000000,0,False
152,Mozambique,100.78661627572595,High,20,0.093897,0.000000,0.863158,0.000000,0,False
153,Myanmar,137.53855707998792,High,17,0.079812,0.000000,0.915441,0.000000,0,False
154,Namibia,121.53011822894416,High,37,0.173709,0.000000,0.801051,0.000000,2,False
155,Nepal,128.5923753139249,High,70,0.328638,0.000259,0.841260,0.057841,0,False
156,New Caledonia,123.98159037963217,High,76,0.356808,0.000203,0.687038,0.074410,1,False
157,Niger,120.68872602332372,High,58,0.272300,0.000076,0.692401,0.050945,0,False
158,Qatar,134.04194360387703,High,102,0.478873,0.000373,0.597063,0.097392,0,False
159,Rwanda,120.02441963486598,High,34,0.159624,0.000047,0.771171,0.032163,0,False
160,Saint Lucia,76.87530029595138,Medium,13,0.061033,0.000000,0.884615,0.000000,1,False
161,Samoa,72.08401843793887,Medium,8,0.037559,0.000000,0.910714,0.000000,1,False
162,Solomon Islands,107.78965339857888,High,17,0.079812,0.000000,0.937500,0.000000,1,False
163,Swaziland,125.24533232388018,High,22,0.103286,0.000000,0.733766,0.000000,0,False
164,Timor-Leste,25.336438411925677,Low,2,0.009390,0.000000,1.000000,0.000000,1,False
165,Tonga,85.66050742151722,Medium,20,0.093897,0.000002,0.866667,0.019063,1,False
166,Vanuatu,104.11964439506256,High,45,0.211268,0.000024,0.803571,0.039107,1,False
167,Yemen,96.99621958799997,Medium,17,0.079812,0.000000,0.823529,0.000000,0,False
168,Zimbabwe,138.76160143400202,High,77,0.361502,0.000411,0.685803,0.045926,0,False
169,Algeria,81.60862972795236,Medium,16,0.075117,0.000000,0.825000,0.000000,0,False
170,Burkina Faso,121.94299941645238,High,64,0.300469,0.000114,0.771956,0.059627,0,False
171,Grenada,34.30767977752172,Low,7,0.032864,0.000000,0.714286,0.000000,2,False
172,Kuwait,107.73340259623407,High,17,0.079812,0.000000,0.746324,0.000000,0,False
173,Togo,116.30198958642994,High,58,0.272300,0.000068,0.790629,0.051002,0,False
174,Falkland Islands (Malvinas),35.47327281804282,Low,2,0.009390,0.000000,1.000000,0.000000,0,False
175,Guam,25.336438411925677,Low,3,0.014085,0.000000,1.000000,0.000000,2,False
176,Somalia,66.8601329649047,Medium,12,0.056338,0.000000,0.916667,0.000000,0,False
177,Saint Kitts and Nevis,87.2712308962511,Medium,17,0.079812,0.000000,0.860294,0.000000,1,False
178,Saint Vincent and the Grenadines,108.91509650092873,High,65,0.305164,0.000014,0.616201,0.062320,1,False
179,Angola,83.86327343127697,Medium,6,0.028169,0.000000,0.933333,0.000000,1,False
180,Benin,126.606331150326,High,50,0.234742,0.000066,0.748154,0.049556,0,False
181,Burundi,96.75111579920791,Medium,29,0.136150,0.000034,0.737562,0.030677,0,False
182,French Polynesia,124.20703948837394,High,70,0.328638,0.000036,0.827371,0.075713,1,False
183,Gabon,118.27003641161578,High,19,0.089202,0.000000,0.921053,0.000000,0,False
184,Haiti,85.08078331072818,Medium,12,0.056338,0.000000,0.863636,0.000000,0,False
185,Liberia,133.13317321945368,High,27,0.126761,0.000000,0.881766,0.000000,0,False
186,Occupied Palestinian Territory,89.69056805581432,Medium,10,0.046948,0.000000,0.900000,0.000000,0,False
187,Senegal,135.67808311026988,High,88,0.413146,0.001291,0.661854,0.066096,0,False
188,British Virgin Islands,63.820652890790114,Medium,8,0.037559,0.000000,0.821429,0.000000,1,False
189,Seychelles,79.12861534923061,Medium,12,0.056338,0.000000,0.575758,0.000000,0,False
190,Bhutan,100.06733152655387,High,17,0.079812,0.000000,0.954887,0.019151,1,False
191,Cook Islands,37.49027830068654,Low,1,0.004695,0.000000,0.000000,0.000000,0,False
192,Lesotho,54.265481701921914,Medium,3,0.014085,0.000000,1.000000,0.000000,0,False
193,Gambia,95.63741648045341,Medium,59,0.276995,0.000192,0.660505,0.057712,0,False
194,Guinea-Bissau,94.97864705331375,Medium,5,0.023474,0.000000,0.750000,0.000000,0,False
195,Niue,23.31943292928196,Low,2,0.009390,0.000000,0.000000,0.000000,1,False
196,Chad,34.71001145444125,Low,1,0.004695,0.000000,0.000000,0.000000,0,False
197,Equatorial Guinea,13.182598523164817,Low,2,0.009390,0.000000,0.000000,0.000000,0,False
198,Faroe Islands,103.45686844269818,High,7,0.032864,0.000000,0.952381,0.000000,2,False
199,Montserrat,20.850817729127655,Low,1,0.004695,0.000000,0.000000,0.000000,1,False
200,Saint Pierre and Miquelon,37.49027830068654,Low,2,0.009390,0.000000,1.000000,0.000000,1,False
201,Turks and Caicos Islands,85.32773333734872,Medium,6,0.028169,0.000000,0.533333,0.000000,0,False
202,Brunei Darussalam,63.56169147937087,Medium,2,0.009390,0.000000,1.000000,0.000000,0,False
203,Greenland,113.99611358006022,High,7,0.032864,0.000000,0.952381,0.000000,2,False
204,Libya,76.2367923240314,Medium,5,0.023474,0.000000,0.900000,0.000000,2,False
205,Micronesia (Federated States of),58.477930435931334,Medium,7,0.032864,0.000000,0.904762,0.000000,0,False
206,Palau,29.8220590947237,Low,4,0.018779,0.000000,0.833333,0.000000,1,False
207,Kiribati,17.66821920596284,Low,3,0.014085,0.000000,0.500000,0.000000,1,False
208,Saint Helena, Ascension and Tristan da Cunha,10.0,Low,0,0.000000,0.000000,0.000000,0.000000,4,False
209,Tuvalu,10.0,Low,0,0.000000,0.000000,0.000000,0.000000,5,False
210,Cayman Islands,52.51506506652122,Medium,7,0.032864,0.000000,0.976190,0.000000,1,False
211,Mayotte,10.0,Low,2,0.009390,0.000000,1.000000,0.000000,0,False
212,Maldives,111.23873580447388,High,52,0.244131,0.000020,0.846329,0.061134,0,False
213,Mauritania,124.61043122041507,High,40,0.187793,0.000023,0.619691,0.041099,0,False
214,Andorra,10.0,Low,0,0.000000,0.000000,0.000000,0.000000,6,False
